Player,Team,Positions,IP,K,W,SV,ERA,WHIP,ER,H,BB,HR,G,GS,L,CG,2026 proj Pts,Pts/ip,2025 proj pts,Diff,Rotation Rank,sp z,ADP,DIff,Frozen,35.99704685,,,
Aaron Nola,PHI,SP,169,167,10,0,4.14,1.22,78,161,45,25,29,29,9,0,164,0.9704142012,,164,4,0.5335507126,24,15,,,,,
Jack Flaherty,DET,SP,158.3,174,10,0,4.01,1.25,71,142,55,21,29,29,9,0,163,1.029690461,,163,3,0.505770656,51,-11,,,,,
Brandon Woodruff,MIL,SP,147,156,10,0,3.76,1.13,61,127,40,21,27,27,8,0,162,1.102040816,,162,1,0.4779905994,88,-47,,,,,
Mitch Keller,PIT,SP,175.9,154,10,0,4.28,1.29,84,175,53,22,31,31,11,0,162,0.9209778283,,162,2,0.4779905994,99,-57,,,,,
David Peterson,NYM,SP,161.7,145,10,0,3.94,1.34,71,155,62,16,29,29,8,1,161,0.9956709957,,161,2,0.4502105427,140,-97,,,,,
Brady Singer,CIN,SP,168.5,157,10,0,4.35,1.3,81,164,55,24,31,31,11,0,159,0.943620178,,159,1,0.3946504295,124,-80,,,,,
Blake Snell,LAD,SP,130.9,162,10,0,3.45,1.22,50,102,57,14,23,23,6,0,158,1.207028266,,158,2,0.3668703728,13,32,,,,,
Andrew Abbott,CIN,SP,167.1,152,10,0,4.2,1.26,78,158,52,26,29,29,9,1,158,0.9455415919,,158,2,0.3668703728,185,-139,,,,,
Yusei Kikuchi,LAA,SP,167,168,9,0,4.27,1.32,79,161,60,25,31,30,10,0,158,0.9461077844,,158,2,0.3668703728,60,-13,,,,,
Kyle Bradish,BAL,SP,138.1,149,9,0,3.59,1.18,55,119,44,15,25,26,7,0,157,1.13685735,,157,1,0.3390903162,,48,,,,,
Nick Lodolo,CIN,SP,152.4,155,9,0,4.03,1.19,68,141,41,21,28,28,9,1,156,1.023622047,,156,3,0.3113102596,96,-47,,,,,
Merrill Kelly,ARI,SP,159.8,143,10,0,4.05,1.26,72,153,48,21,28,27,8,0,156,0.9762202753,,156,2,0.3113102596,116,-66,,,,,
Nolan McLean,NYM,SP,150.5,145,10,0,3.82,1.28,64,134,58,16,26,26,8,0,155,1.029900332,,155,3,0.283530203,#N/A,#N/A,,,,,
Shota Imanaga,CHC,SP,154.8,142,10,0,4.09,1.15,70,144,34,27,27,27,8,0,155,1.00129199,,155,2,0.283530203,22,30,,,,,
Cody Ponce,TOR,"SP,RP",145,149,8,0,4.07,1.25,66,135,46,20,39,22,8,0,155,1.068965517,,155,3,0.283530203,#N/A,#N/A,,,,,
Chris Bassitt,BAL,SP,168.1,151,10,0,4.3,1.32,80,165,58,23,33,29,10,1,154,0.9161213563,,154,2,0.2557501463,115,-61,,,,,
Carlos Rodon,NYY,SP,145.3,152,10,0,3.99,1.22,64,124,53,20,26,26,8,0,152,1.046111493,,152,2,0.2001900331,53,2,,,,,
Brandon Pfaadt,ARI,SP,164.8,145,10,0,4.38,1.26,80,170,39,24,29,29,10,0,152,0.9223300971,,152,3,0.2001900331,66,-10,,,,,
Emmet Sheehan,LAD,SP,134.5,156,9,0,3.81,1.16,57,111,45,19,34,24,6,0,150,1.115241636,,150,3,0.1446299198,#N/A,#N/A,,,,,
Michael Wacha,KC,SP,165.8,129,10,0,4.32,1.29,80,165,49,22,29,29,10,0,150,0.9047044632,,150,2,0.1446299198,100,-42,,,,,
Shohei Ohtani,LAD,"SP,DH",118.8,143,9,0,3.37,1.11,44,93,39,14,23,23,5,1,149,1.254208754,263,-114,4,0.1168498632,1,58,y,101.675,,,
Eury Perez,MIA,SP,137.5,151,8,0,3.91,1.18,60,115,47,19,27,27,8,0,149,1.083636364,,149,2,0.1168498632,152,-92,,,,,
